"Price Options","Price Options"
"Enabled Rounding","Enabled Rounding"
"Rounding Base Price","Rounding Base Price"
"Rounding Type","Rounding Type"
"Precision","Precision"
"Subtract Amount","Subtract Amount"
"Amount","Amount"
"Please correct the target currency.","Please correct the target currency."
"Round fractions up","Round fractions up"
"Round fractions down","Round fractions down"
"When using Base Price on Storefront.","When using Base Price on Storefront."
"Round fractions up or Round fractions down.","Round fractions up or Round fractions down."
"The optional number of decimal digits to round to.","The optional number of decimal digits to round to."
"Subtract Amount from the Result.","Subtract Amount from the Result."
"Show decimal zeros","Show decimal zeros"
"Replace zero price","Replace zero price"
"Text of replace","Text of replace"
"Text instead of zero price.","Text instead of zero price."
"Rounding Discount","Rounding Discount"
"Swedish Round up","Swedish Round up"
"Swedish Round","Swedish Round"
"Swedish Round down","Swedish Round down"
"Excel Round up","Excel Round up"
"Excel Round","Excel Round"
"Excel Round down","Excel Round down"
"Simple Round up","Simple Round up"
"Simple Round down","Simple Round down"
